time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1775583012001954000,3861.9659541015626,550.3590225083753,1.672400424190998,180,-33.43943872965937,524.5443290574476,276.19734477037207,21.477377803402863,3.0552361697125665,-70.6871316522162,0.4826114420238772
1775583013001973800,3862.9659738769533,550.7789601217955,1.4342079416588713,129.4782297312941,-33.43944060073963,524.9642666708678,280.193509459082,21.215321266288548,3,-70.68714609443005,0.8856875923144403
1775583014001993700,3863.965993652344,550.4138668533415,1.583889337424603,179.2158946993611,-33.43944728560321,524.5991734024137,276.5307253469961,20.006748470752903,3,-70.6871304200973,0.7058423498916594
1775583015002013200,3864.9660131835935,550.3370927264914,1.7863864752120184,180,-33.43945000793915,524.5223992755637,276.48188261344853,19.100639795490597,3,-70.68711201186818,0.36845605569883727
1775583016002034200,3865.9660341796875,550.3104911539704,1.456359213271097,180,-33.43945074214984,524.4957977030426,276.4818819205659,18.47371448347867,3,-70.68710782661535,0
1775583017002053600,3866.9660537109376,550.5160583294928,1.5141080152643678,180,-33.43944954907127,524.7013648785651,276.48187509522376,17.857967375953287,3.0282340940988055,-70.68708869409609,0.04983237655274744
1775583018002073600,3867.9660734863282,550.6223430903628,1.6917100912477885,180,-33.43944679463913,524.8076496394351,276.48186918388285,17.33842756652695,3.039945623295018,-70.68707372325845,0.028984226705117848
1775583019002093800,3868.96609375,550.802460107021,1.7796265480721092,180,-33.43944748100267,524.9877666560933,276.4818750758343,17.348714445996055,3,-70.68708939260907,0.12713249487456635
1775583020002113800,3869.966113769531,550.717881676741,1.8038900325708336,180,-33.43944868128491,524.9031882258132,276.4818715034698,17.074782058258393,3,-70.6870802376948,0
1775583021002133200,3870.966133300781,550.5899234004319,1.7857440157136166,180,-33.43945008179867,524.7752299495041,276.48186787135705,16.802342077145106,3,-70.68707128274767,0.030845578558448654
1775583022002153700,3871.966153808594,550.6387544721365,1.926608589047939,180,-33.43945270905234,524.8240610212088,276.48186882126436,16.80178964942534,3,-70.68707333369062,0.06442656281117617
1775583023002173400,3872.966173339844,550.6380896037444,1.5728791563392515,180,-33.439437307894906,524.8233961528167,276.4818686543383,15.885662149444075,3,-70.68713002790273,0
1775583024002193400,3873.966193359375,550.6289982832968,1.7683710753098496,180,-33.43943502601258,524.8143048323691,276.48187850733586,15.711211765662803,3,-70.68715072356076,0.1564297003892391
1775583025002214000,3874.9662138671874,550.3649572599679,1.7830703217114905,180,-33.43943964206816,524.5502638090402,276.48187832064093,15.710909110743172,3,-70.68714974629192,0.08891320171957552
