seconds_elapsed,latitude,longitude
1737.9645,33.439,70.6909
1738.9645,33.439,70.6909
1739.9645,33.439,70.6909
1740.9645,33.439,70.6909
1741.9645,33.439,70.691
1742.9645,33.439,70.6909
1743.9645,33.439,70.6909
1744.9645,33.439,70.691
1745.9645,33.439,70.691
1746.9645,33.439,70.691
1747.9645,33.439,70.691
1748.9645,33.439,70.6908
1749.9645,33.439,70.6908
1750.9645,33.4391,70.6907
1751.9645,33.439,70.6909
1752.9645,33.439,70.6909
1753.9645,33.439,70.6909
1754.9645,33.439,70.6909
1755.9645,33.439,70.6909
1756.9645,33.439,70.6909
1757.9645,33.439,70.6909
1758.9645,33.439,70.6909
1759.9645,33.439,70.6909
1760.9645,33.439,70.6909
1761.9645,33.439,70.6909
1762.9645,33.439,70.6909
1763.9778,33.439,70.6909
1774.6702,33.439,70.6909
1780.5062,33.4391,70.6909
1786.4573,33.439,70.691
1792.5567,33.439,70.6909
1793.9946,33.4389,70.6909
1797.9775,33.4389,70.6909
1798.9646,33.4389,70.6909
1799.9646,33.439,70.691
1800.9646,33.439,70.6909
1801.9646,33.439,70.6909
1802.9646,33.439,70.6909
1803.9646,33.439,70.6909
1804.9646,33.4391,70.6908
1805.9646,33.439,70.6909
1806.9646,33.439,70.6909
1807.9646,33.439,70.6908
1808.9646,33.439,70.6908
1809.9646,33.4391,70.6908
1810.9646,33.4391,70.6908
1811.9646,33.439,70.6907
1812.9646,33.439,70.6907
1813.9646,33.439,70.6907
1814.9646,33.439,70.6907
1815.9646,33.439,70.6907
1816.9646,33.439,70.6907
1817.9647,33.4391,70.6906
1818.9647,33.4391,70.6906
1819.9647,33.4391,70.6906
1820.9647,33.4391,70.6905
1821.9647,33.4391,70.6905
1822.9647,33.4391,70.6905
1823.9637,33.4391,70.6905
1824.9637,33.4391,70.6905
1825.9638,33.4391,70.6905
1826.9638,33.4391,70.6905
1827.9638,33.4391,70.6905
1828.9638,33.4391,70.6905
1829.9638,33.4391,70.6905
1830.9638,33.4391,70.6905
1831.9638,33.4391,70.6905
1832.9638,33.4391,70.6905
1833.9638,33.4391,70.6905
1834.9638,33.4391,70.6905
1835.9638,33.4391,70.6905
1836.9638,33.4391,70.6904
1837.9638,33.4391,70.6904
1838.9638,33.4391,70.6904
1839.9638,33.4391,70.6904
1840.9639,33.4391,70.6904
1841.9639,33.4391,70.6903
1842.9639,33.4391,70.6903
1843.9639,33.4391,70.6903
1844.9639,33.4391,70.6903
1845.9639,33.4391,70.6903
1846.9639,33.4391,70.6903
1847.9639,33.4391,70.6902
1848.9639,33.4391,70.6902
1849.9639,33.4391,70.6902
1850.9639,33.4391,70.6902
1851.9639,33.4391,70.6902
1852.9639,33.4391,70.6901
1853.9639,33.4391,70.6901
1854.9639,33.4391,70.6901
1855.9639,33.4391,70.6901
1856.9639,33.4391,70.6901
1857.964,33.4391,70.6901
1858.964,33.4391,70.69
1859.964,33.4391,70.69
1860.964,33.4391,70.69
1861.964,33.4391,70.69
1862.964,33.4391,70.69
1863.964,33.4391,70.69
1864.964,33.4391,70.69
1865.964,33.4391,70.6899
1866.964,33.4391,70.6899
1867.964,33.4391,70.6899
1868.964,33.4391,70.6899
1869.964,33.4391,70.6899
1870.964,33.4391,70.6898
1871.964,33.4391,70.6898
1872.964,33.4391,70.6898
1873.964,33.4391,70.6898
1874.964,33.4391,70.6898
1875.964,33.4391,70.6898
1876.964,33.4391,70.6897
1877.964,33.4391,70.6897
1878.964,33.4391,70.6897
1879.964,33.4391,70.6897
1880.964,33.4391,70.6897
1881.964,33.439,70.6897
1882.964,33.439,70.6897
1883.9641,33.439,70.6896
1884.9641,33.439,70.6896
1885.9641,33.439,70.6896
1886.9641,33.439,70.6896
1887.9641,33.439,70.6896
1888.9641,33.439,70.6895
1889.9641,33.439,70.6895
1890.9641,33.439,70.6895
