time,seconds_elapsed,dBFS
1776314292753000000,49.889,-33.5917854309082
1776314292858000000,49.99399975585938,-32.29766082763672
1776314292961000000,50.097,-34.848819732666016
1776314293067000000,50.203,-36.405426025390625
1776314293172000000,50.308,-35.73580551147461
1776314293277000000,50.413,-35.57412338256836
1776314293382000000,50.51800024414062,-34.639015197753906
1776314293487000000,50.623,-31.874202728271484
1776314293592000000,50.728,-24.73078155517578
1776314293693000000,50.829,-28.108917236328125
1776314293798000000,50.93400024414063,-23.68046760559082
1776314293900000000,51.036,-25.0876522064209
1776314294005000000,51.141,-27.555944442749023
1776314294110000000,51.246000244140625,-16.92068099975586
1776314294215000000,51.351,-14.293841361999512
1776314294320000000,51.456,-16.06852912902832
1776314294425000000,51.561,-10.757647514343262
1776314294531000000,51.667,-14.074467658996582
1776314294636000000,51.772,-17.356075286865234
1776314294739000000,51.875,-20.633020401000977
1776314294845000000,51.981,-24.17156219482422
1776314294950000000,52.08600024414063,-26.518360137939453
1776314295055000000,52.191,-30.243135452270508
1776314295160000000,52.296,-30.500097274780273
1776314295265000000,52.401,-28.555587768554688
1776314295370000000,52.50599975585938,-30.024702072143555
1776314295475000000,52.611,-31.493507385253906
1776314295580000000,52.716,-35.13148498535156
1776314295681000000,52.817,-29.70035171508789
1776314295784000000,52.92,-28.398618698120117
1776314295889000000,53.025,-31.855772018432617
1776314295993000000,53.129,-30.807783126831055
1776314296098000000,53.23399975585937,-29.7604923248291
1776314296203000000,53.339,-31.990549087524414
1776314296308000000,53.444,-33.93031692504883
1776314296413000000,53.549,-33.67052459716797
1776314296519000000,53.655,-33.41950607299805
1776314296620000000,53.756,-36.23188018798828
1776314296726000000,53.862000244140624,-37.807579040527344
1776314296831000000,53.967,-30.606285095214844
1776314296936000000,54.072,-33.006813049316406
1776314297041000000,54.177,-35.745697021484375
1776314297146000000,54.281999755859374,-35.164527893066406
1776314297251000000,54.387,-38.02412033081055
1776314297357000000,54.493,-30.242223739624023
1776314297458000000,54.59399975585937,-21.88947868347168
1776314297564000000,54.7,-16.760908126831055
